id,name,description,keywords,mainSentimentId,createdAt,updatedAt
14,Sozinho(a),,"[""solidão"",""isolamento"",""abandono"",""desamparo"",""alienação"",""solitário"",""afastado"",""sem companhia"",""incompreendido""]",14,2025-05-06 19:16:59.33,2025-05-19 21:19:59.221
16,Nostálgico(a) (Triste),,"[""saudade"",""lembranças tristes"",""passado doloroso"",""memória amarga"",""velhos tempos (tristes)"",""recordação dolorosa"",""anseio pelo passado (perdido)"",""infância perdida"",""juventude perdida"",""tempo que passou"",""melancolia do passado"",""arrependimento"",""perda da inocência""]",14,2025-05-19 21:25:26.071,2025-05-19 21:25:07.117
17,Decepcionado(a),,"[""decepção"",""desilusão"",""frustração"",""desapontamento"",""expectativas frustradas"",""traição"",""engano"",""amargura"",""culpa"",""remorso"",""arrependimento""]",14,2025-05-19 21:28:28.08,2025-05-19 21:28:16.414
18,Vazio(a),,"[""vazio emocional"",""apatia"",""indiferença (negativa)"",""falta de sentido"",""entorpecimento"",""ausência de emoção"",""inércia"",""busca por significado"",""transformação pessoal""]",14,2025-05-19 21:30:24.064,2025-05-19 21:30:10.498
19,Emotivo(a) (Triste),,"[""sensível"",""choroso"",""vulnerável"",""comovente"",""tocante (triste)"",""sentimental (triste)"",""precisando liberar emoção"",""história triste"",""tristeza""]",14,2025-05-19 21:31:46.828,2025-05-19 21:31:32.239
20,Euforia / Celebração,,"[""euforia"",""celebração"",""alegria"",""entusiasmo"",""exaltação"",""júbilo"",""festa"",""comemoração"",""triunfo"",""vitória"",""conquista"",""sucesso"",""alegria contagiante"",""energia positiva"",""momento especial"",""realização"",""satisfação"",""orgulho"",""felicidade intensa"",""momento de glória""]",13,2025-05-23 23:44:30.592,2025-05-23 20:43:47
21,Inspiração / Otimismo,,"[""inspiração"",""otimismo"",""esperança"",""motivação"",""superação"",""transformação"",""renascimento"",""novos começos"",""perseverança"",""resiliência"",""conquista pessoal"",""autodescoberta"",""crescimento"",""evolução"",""potencial"",""possibilidades"",""sonhos"",""metas"",""propósito"",""realização pessoal""]",13,2025-05-23 23:45:23.766,2025-05-23 20:45:23
22,Leveza / Diversão Descompromissada,,"[""leveza"",""diversão"",""descontração"",""alegria"",""brincadeira"",""descompromisso"",""momentos leves"",""risada"",""bom humor"",""descontração"",""momento despretensioso"",""alegria simples"",""diversão casual"",""momento relaxante"",""bem-estar"",""conforto"",""tranquilidade"",""momentos felizes"",""alegria contagiante"",""momento de descontração""]",13,2025-05-23 23:45:51.707,2025-05-23 20:45:50
23,Aconchego / Conforto,,"[""aconchego"",""conforto"",""bem-estar"",""tranquilidade"",""paz interior"",""segurança"",""calor humano"",""carinho"",""afeto"",""amor"",""amizade"",""família"",""lar"",""momentos especiais"",""memórias felizes"",""nostalgia positiva"",""tradição"",""união"",""compartilhamento"",""momentos de paz""]",13,2025-05-23 23:46:20.898,2025-05-23 20:46:22
24,Nostalgia (Positiva),,"[""nostalgia"",""saudade"",""memórias"",""lembranças"",""infância"",""tempos passados"",""recordações"",""momentos especiais"",""tradição"",""história"",""raízes"",""origens"",""família"",""amizades antigas"",""momentos felizes"",""experiências marcantes"",""valores"",""costumes"",""cultura"",""identidade""]",13,2025-05-23 23:46:44.159,2025-05-23 20:46:45
25,Paz / Contemplação,,"[""paz"",""contemplação"",""serenidade"",""tranquilidade"",""silêncio"",""meditação"",""reflexão"",""calmaria"",""harmonia"",""equilíbrio"",""momento de paz"",""paz interior"",""conexão espiritual"",""natureza"",""beleza"",""simplicidade"",""momentos de calma"",""bem-estar"",""plenitude"",""gratidão""]",15,2025-05-24 22:03:52.376,2025-05-24 19:03:51
26,Conforto / Acolhimento,,"[""conforto"",""acolhimento"",""bem-estar"",""tranquilidade"",""segurança"",""proteção"",""lar"",""casa"",""refúgio"",""abrigo"",""calor humano"",""carinho"",""afeto"",""amor"",""família"",""amizade"",""momentos de paz"",""conexão"",""união"",""pertencimento""]",15,2025-05-24 22:04:41.282,2025-05-24 19:04:42
27,Suavidade / Leveza,,"[""suavidade"",""leveza"",""delicadeza"",""tranquilidade"",""serenidade"",""calmaria"",""brisa"",""flutuação"",""fluidez"",""harmonia"",""equilíbrio"",""momentos leves"",""descontração"",""alívio"",""bem-estar"",""conforto"",""paz"",""simplicidade"",""naturalidade"",""espontaneidade""]",15,2025-05-24 22:05:23.089,2025-05-24 19:05:24
28,Reflexão Serena,,"[""reflexão"",""serenidade"",""contemplação"",""introspecção"",""pensamento"",""meditação"",""silêncio"",""tranquilidade"",""paz interior"",""autoconhecimento"",""consciência"",""clareza"",""sabedoria"",""entendimento"",""profundidade"",""momentos de reflexão"",""calmaria"",""equilíbrio"",""harmonia"",""plenitude""]",15,2025-05-24 22:05:45.539,2025-05-24 19:05:47
29,Distração Total / Escape,,"[""distração"",""escape"",""fuga"",""evasão"",""desconexão"",""alienação"",""isolamento"",""fantasia"",""imaginação"",""aventura"",""ação"",""emoção"",""intensidade"",""adrenalina"",""desafio"",""superação"",""transformação"",""libertação"",""alívio"",""momentos de fuga""]",16,2025-05-24 22:06:20.044,2025-05-24 19:06:22
30,Alívio / Relaxamento Gradual,,"[""alívio"",""relaxamento"",""calmaria"",""tranquilidade"",""serenidade"",""paz"",""bem-estar"",""conforto"",""segurança"",""proteção"",""acolhimento"",""suavidade"",""leveza"",""equilíbrio"",""harmonia"",""momentos de paz"",""descontração"",""respiração"",""calmaria"",""tranquilidade interior""]",16,2025-05-24 22:06:43.521,2025-05-24 19:06:45
31,Catarse / Liberação de Tensão Controlada,,"[""catarse"",""liberação"",""tensão"",""emoção"",""intensidade"",""catharsis"",""purificação"",""transformação"",""superação"",""libertação"",""alívio"",""descarga emocional"",""expressão"",""vulnerabilidade"",""autenticidade"",""profundidade"",""cura"",""renovação"",""fortalecimento"",""crescimento""]",16,2025-05-24 22:07:06.332,2025-05-24 19:07:07
33,Organização / Ordem,,"[""organização"",""ordem"",""controle"",""estrutura"",""planejamento"",""sistemática"",""metódico"",""disciplina"",""rotina"",""harmonia"",""equilíbrio"",""clareza"",""foco"",""produtividade"",""realização"",""satisfação"",""tranquilidade"",""segurança"",""estabilidade"",""previsibilidade""]",16,2025-05-24 22:07:54.149,2025-05-24 19:07:54
34,Adrenalina / Emoção Intensa,,"[""adrenalina"",""emoção"",""intensidade"",""excitação"",""energia"",""vitalidade"",""ação"",""aventura"",""desafio"",""superação"",""coragem"",""determinação"",""força"",""poder"",""conquista"",""vitória"",""triunfo"",""realização"",""satisfação"",""empolgação""]",17,2025-05-24 22:08:26.43,2025-05-24 19:08:28
35,Inspiração / Motivação para Agir,,"[""inspiração"",""motivação"",""ação"",""propósito"",""determinação"",""foco"",""objetivo"",""meta"",""superação"",""crescimento"",""desenvolvimento"",""transformação"",""realização"",""conquista"",""progresso"",""evolução"",""potencial"",""capacidade"",""força interior"",""empoderamento""]",17,2025-05-24 22:08:55.238,2025-05-24 19:08:57
36,Celebração / Grandeza,,"[""celebração"",""grandeza"",""triunfo"",""vitória"",""conquista"",""sucesso"",""realização"",""momento especial"",""festa"",""comemoração"",""alegria"",""júbilo"",""exaltação"",""glória"",""magnificência"",""esplendor"",""grandiosidade"",""importância"",""significância"",""memória""]",17,2025-05-24 22:09:18.425,2025-05-24 19:09:20
37,Inovação / Descoberta (mental),,"[""inovação"",""descoberta"",""criatividade"",""imaginação"",""exploração"",""curiosidade"",""aprendizado"",""conhecimento"",""sabedoria"",""insight"",""revelação"",""despertar"",""transformação"",""evolução"",""crescimento"",""expansão"",""novas perspectivas"",""possibilidades"",""potencial"",""desenvolvimento""]",17,2025-05-24 22:09:43.894,2025-05-24 19:09:47
38,Descanso / Leveza Mental,,"[""descanso"",""leveza"",""descontração"",""alívio"",""tranquilidade"",""simplicidade"",""descompressão"",""desconexão"",""pausa"",""respiro"",""calmaria"",""serenidade"",""bem-estar"",""conforto"",""suavidade"",""momentos leves"",""despreocupação"",""desapego"",""liberdade"",""renovação""]",18,2025-05-24 22:10:15.84,2025-05-24 19:10:17
39,Inspiração / Reacender a Chama,,"[""inspiração"",""reacendimento"",""renovação"",""motivação"",""propósito"",""energia"",""vitalidade"",""entusiasmo"",""paixão"",""determinação"",""superação"",""transformação"",""crescimento"",""despertar"",""descoberta"",""novos começos"",""possibilidades"",""potencial"",""realização"",""plenitude""]",18,2025-05-24 22:10:39.476,2025-05-24 19:10:41
40,Conforto / Aconchego Emocional,,"[""conforto"",""aconchego"",""acolhimento"",""proteção"",""segurança"",""carinho"",""afeto"",""amor"",""cuidado"",""amparo"",""refúgio"",""abrigo"",""calor humano"",""vínculos"",""conexão"",""união"",""pertencimento"",""bem-estar"",""tranquilidade"",""paz interior""]",18,2025-05-24 22:11:04.974,2025-05-24 19:11:07
46,Observação e Análise,Estado de observação atenta e análise objetiva,"[""observação"",""análise"",""estudo"",""compreensão"",""entendimento"",""objetividade"",""imparcialidade"",""racionalidade"",""lógica"",""contemplação""]",19,2025-05-25 01:43:23.545,2025-05-25 01:43:23.545
47,Equilíbrio e Serenidade,Estado de equilíbrio emocional e serenidade,"[""equilíbrio"",""serenidade"",""paz"",""harmonia"",""tranquilidade"",""calma"",""controle"",""estabilidade"",""centramento"",""presença""]",19,2025-05-25 01:43:23.628,2025-05-25 01:43:23.628
48,Distanciamento e Objetividade,Estado de distanciamento emocional e objetividade,"[""distanciamento"",""objetividade"",""imparcialidade"",""neutralidade"",""desapego"",""desprendimento"",""frieza"",""controle"",""racionalidade"",""análise""]",19,2025-05-25 01:43:23.72,2025-05-25 01:43:23.72
49,Contemplação e Reflexão,Filmes que exploram temas profundos e convidam à reflexão,"[""contemplação"",""reflexão"",""introspecção"",""análise"",""profundidade"",""complexidade"",""humanidade"",""emoção"",""sentimento"",""experiência""]",19,2025-05-25 12:52:25.797,2025-05-25 12:52:25.797
50,Superação e Crescimento,Histórias de transformação pessoal e desenvolvimento,"[""superação"",""crescimento"",""transformação"",""desenvolvimento"",""evolução"",""mudança"",""aprendizado"",""desafio"",""conquista"",""vitória""]",19,2025-05-25 12:52:25.797,2025-05-25 12:52:25.797
