"MainSentiment: name","EmotionalIntention: intentionType","EmotionalIntention: text","JourneyOptionFlow: id","JourneyOptionFlow: text"
"Feliz / Alegre","EXPLORE","Quero descobrir as diversas formas e cores da alegria.",5,"Mostre como a alegria surge da conexão humana e do compartilhamento genuíno"
"Feliz / Alegre","TRANSFORM","Quero trocar o brilho da alegria por uma energia mais vibrante",6,"Pura adrenalina, com ação ininterrupta e um ritmo eletrizante"
"Feliz / Alegre","TRANSFORM","Quero trocar o brilho da alegria por uma energia mais vibrante",7,"Um romance inspirador e que faça refletir sobre o amor"
"Feliz / Alegre","TRANSFORM","Quero trocar o brilho da alegria por uma energia mais vibrante",8,"Um mistério inteligente e instigante, que te envolva do início ao fim"
"Feliz / Alegre","TRANSFORM","Quero trocar o brilho da alegria por uma energia mais vibrante",9,"Um universo de fantasia, repleto de magia e criaturas extraordinárias"
"Feliz / Alegre","MAINTAIN","Quero uma história que proteja essa sensação de leveza e bem-estar.",10,"Capaz de despertar risadas, com humor ácido e situações inusitadas"
"Feliz / Alegre","MAINTAIN","Quero uma história que proteja essa sensação de leveza e bem-estar.",11,"Um acalento para o coração, com histórias adoráveis e reconfortantes"
"Feliz / Alegre","MAINTAIN","Quero uma história que proteja essa sensação de leveza e bem-estar.",12,"Uma animação encantadora ou com visuais relaxantes"
"Feliz / Alegre","MAINTAIN","Quero uma história que proteja essa sensação de leveza e bem-estar.",13,"Uma obra que encante pela beleza visual e riqueza de detalhes"
"Feliz / Alegre","PROCESS","Quero um filme que celebre este estado de espírito",24,"Que me faça rir fácil e um humor contagiante"
"Feliz / Alegre","PROCESS","Quero um filme que celebre este estado de espírito",25,"Que provoque um calor no coração e uma sensação adorável"
"Feliz / Alegre","PROCESS","Quero um filme que celebre este estado de espírito",26,"Que seja empolgante e cheio de energia"
"Feliz / Alegre","PROCESS","Quero um filme que celebre este estado de espírito",27,"Que me faça reviver bons momentos e uma sensação de nostalgia"
"Introspectivo(a)","MAINTAIN","Quero algo que acompanhe meu silêncio interior.",32,"A profundidade dos laços humanos e os momentos de solidão"
"Introspectivo(a)","MAINTAIN","Quero algo que acompanhe meu silêncio interior.",33,"Sentir a força de quem persiste e a coragem de se reconstruir"
"Introspectivo(a)","MAINTAIN","Quero algo que acompanhe meu silêncio interior.",34,"Encontrar um refúgio acolhedor em histórias que abraçam a alma"
"Introspectivo(a)","EXPLORE","Quero mergulhar mais fundo e explorar as nuances desse estado interior.",43,"As nuances da mente e o lado mais íntimo da nossa tristeza"
"Introspectivo(a)","EXPLORE","Quero mergulhar mais fundo e explorar as nuances desse estado interior.",44,"O impacto da tristeza em diferentes contextos sociais ou existenciais"
"Introspectivo(a)","EXPLORE","Quero mergulhar mais fundo e explorar as nuances desse estado interior.",45,"A beleza silenciosa da melancolia em histórias e personagens únicos"
"Introspectivo(a)","EXPLORE","Quero mergulhar mais fundo e explorar as nuances desse estado interior.",46,"Como as sombras da alma podem florescer em um novo olhar sobre a vida"
"Introspectivo(a)","MAINTAIN","Quero algo que acompanhe meu silêncio interior.",52,"Mergulhar em dramas profundos sobre perdas e as fragilidades da vida"
"Animado(a)","TRANSFORM","Quero canalizar esse fôlego para algo novo e vibrante.",60,"Uma ficção científica que desafie a mente e expanda a realidade"
"Animado(a)","PROCESS","Quero um filme que pulse no ritmo dessa energia.",61,"Alimente sua energia com pura adrenalina e sequências eletrizantes"
"Animado(a)","PROCESS","Quero um filme que pulse no ritmo dessa energia.",62,"Seja um espetáculo de pura diversão, com ação carismática e ritmo contagiante"
"Animado(a)","PROCESS","Quero um filme que pulse no ritmo dessa energia.",63,"Te transporte para uma jornada grandiosa e cheia de mundos a explorar"
"Animado(a)","PROCESS","Quero um filme que pulse no ritmo dessa energia.",64,"Te inspire com histórias de grande triunfo e superação"
"Animado(a)","MAINTAIN","Quero manter o ritmo com algo leve e contagiante.",65,"Repleto de risadas fáceis e um humor contagiante"
"Animado(a)","MAINTAIN","Quero manter o ritmo com algo leve e contagiante.",66,"Uma aventura épica, com ação e personagens carismáticos, que prenda sua atenção"
"Animado(a)","MAINTAIN","Quero manter o ritmo com algo leve e contagiante.",67,"Uma explosão de cores e ritmo, com mundos vibrantes e muita energia"
"Animado(a)","MAINTAIN","Quero manter o ritmo com algo leve e contagiante.",68,"Um romance vibrante e solar para celebrar o amor e a vida"
"Calmo(a)","MAINTAIN","Quero uma obra que embale essa paz e mantenha o mundo lá fora.",69,"Repleto de leveza e um humor suave para descontrair"
"Calmo(a)","MAINTAIN","Quero uma obra que embale essa paz e mantenha o mundo lá fora.",70,"Um romance delicado e acolhedor para aquecer o coração"
"Calmo(a)","MAINTAIN","Quero uma obra que embale essa paz e mantenha o mundo lá fora.",72,"Uma história inspiradora e gentil que reafirme a esperança através da superação"
"Calmo(a)","MAINTAIN","Quero uma obra que embale essa paz e mantenha o mundo lá fora.",73,"Um passatempo leve e familiar que traga conforto e segurança"
"Calmo(a)","EXPLORE","Quero contemplar a beleza e as nuances da quietude.",74,"Te inspire a encontrar a beleza na simplicidade do cotidiano"
"Calmo(a)","EXPLORE","Quero contemplar a beleza e as nuances da quietude.",75,"Inspire resiliência e a redescoberta do equilíbrio nos ciclos da vida"
"Calmo(a)","EXPLORE","Quero contemplar a beleza e as nuances da quietude.",76,"Te conduza por paisagens naturais e pelo silêncio que convida à meditação"
"Calmo(a)","EXPLORE","Quero contemplar a beleza e as nuances da quietude.",77,"Proponha reflexões profundas sobre a existência e nossa conexão com o universo"
"Calmo(a)","PROCESS","Quero habitar o silêncio e saborear esta paz.",78,"Te envolva em uma atmosfera de reflexão e ritmo calmo"
"Calmo(a)","PROCESS","Quero habitar o silêncio e saborear esta paz.",79,"Te deslumbre com o espetáculo visual e a grandeza de cenários épicos"
"Calmo(a)","PROCESS","Quero habitar o silêncio e saborear esta paz.",80,"Te encante com a harmonia da arte, do design ou da beleza estética"
"Calmo(a)","PROCESS","Quero habitar o silêncio e saborear esta paz.",81,"Mergulhe suavemente na complexidade da vida e das relações humanas"
"Introspectivo(a)","PROCESS","Quero um filme que me ajude a acolher e aprofundar esse sentir",82,"Permita uma catarse emocional para liberar as tensões acumuladas"
"Introspectivo(a)","PROCESS","Quero um filme que me ajude a acolher e aprofundar esse sentir",83,"Revele uma faísca de esperança e novos caminhos para florescer diante da dor"
